n,max_price,mass_of_prods,time
5,189,85,0.000094
5,192,102,0.000070
5,160,86,0.000067
5,159,137,0.000066
5,87,89,0.000067
5,161,91,0.000066
5,115,108,0.000066
5,146,94,0.000065
5,120,128,0.000067
5,165,137,0.000066
5,195,168,0.000066
5,142,120,0.000066
5,138,116,0.000066
5,126,87,0.000065
5,98,146,0.000065
5,164,68,0.000066
5,161,110,0.000066
5,133,121,0.000068
5,182,135,0.000067
5,192,121,0.000066
5,183,126,0.000067
5,163,51,0.000067
5,167,145,0.000066
5,159,143,0.000066
5,211,81,0.000066
10,483,197,0.002072
10,405,194,0.002042
10,493,166,0.002098
10,372,229,0.002055
10,336,185,0.002075
10,387,280,0.002116
10,319,277,0.002102
10,435,265,0.002041
10,291,335,0.002402
10,288,287,0.002067
10,369,268,0.002083
10,317,189,0.002169
10,389,200,0.002122
10,347,250,0.002119
10,365,275,0.002135
10,202,332,0.002082
10,466,256,0.002108
10,444,231,0.002153
10,389,274,0.002168
10,372,316,0.002091
10,289,308,0.002194
10,392,200,0.002138
10,525,279,0.002132
10,274,150,0.002138
10,468,265,0.002067
15,576,403,0.067862
15,418,382,0.086134
15,618,341,0.067361
15,568,307,0.065775
15,637,352,0.065622
15,628,438,0.064451
15,670,322,0.064501
15,661,381,0.065022
15,577,448,0.065440
15,589,249,0.068770
15,542,282,0.069898
15,516,272,0.073823
15,535,333,0.062676
15,558,318,0.063542
15,538,329,0.063754
15,358,353,0.063916
15,624,356,0.064010
15,544,407,0.063493
15,386,380,0.063799
15,675,265,0.062690
15,548,396,0.061650
15,548,407,0.060902
15,477,478,0.059525
15,470,383,0.064094
15,597,414,0.060446
20,598,611,2.058964
20,807,546,2.061421
20,790,502,2.206043
20,639,494,2.135887
20,812,434,2.181834
20,829,493,2.102626
20,835,361,2.135439
20,852,423,2.169547
20,681,497,2.147872
20,634,502,2.142405
20,801,559,2.112901
20,886,401,2.013253
20,764,403,2.069412
20,834,583,2.175177
20,750,509,2.197399
20,765,510,2.197965
20,904,378,2.130248
20,692,544,2.121403
20,639,574,2.139650
20,694,382,2.117560
20,790,546,2.163694
20,831,515,2.214786
20,959,535,2.035478
20,928,428,2.165363
20,779,481,2.218171
25,1009,625,67.958866
25,977,704,70.019346
25,1162,589,70.077823
25,905,549,70.397602
25,1094,652,71.346933
25,1098,535,67.803535
25,992,647,67.674143
25,951,680,64.142329
25,852,579,68.809537
25,903,723,67.927889
25,671,552,65.212102
25,1050,647,66.269996
25,840,715,67.771316
25,1039,651,69.126897
25,1023,553,70.059580
25,1012,624,71.900070
25,996,720,72.705624
25,746,743,69.351493
25,873,601,66.110377
25,1081,543,67.088116
25,922,617,69.406606
25,995,616,73.141520
25,1065,753,68.819779
25,1156,605,69.113374
25,1108,497,68.977331
