n,max_price,mass_of_prods,time
5,156,121,0.000017
5,143,141,0.000009
5,141,77,0.000009
5,160,88,0.000008
5,203,119,0.000008
5,179,51,0.000008
5,136,121,0.000007
5,152,70,0.000008
5,98,99,0.000008
5,165,138,0.000008
5,207,102,0.000008
5,180,140,0.000008
5,132,65,0.000008
5,145,101,0.000008
5,205,91,0.000008
5,192,136,0.000008
5,130,188,0.000008
5,154,21,0.000008
5,155,75,0.000009
5,124,143,0.000008
5,169,191,0.000008
5,206,147,0.000008
5,170,169,0.000008
5,131,112,0.000008
5,101,96,0.000008
10,487,215,0.000018
10,390,283,0.000016
10,445,242,0.000018
10,405,246,0.000015
10,318,152,0.000018
10,493,231,0.000016
10,417,269,0.000017
10,436,240,0.000016
10,410,273,0.000017
10,374,227,0.000016
10,430,152,0.000017
10,289,335,0.000016
10,445,150,0.000018
10,251,247,0.000016
10,348,157,0.000015
10,470,207,0.000018
10,366,232,0.000018
10,373,319,0.000017
10,348,308,0.000018
10,413,152,0.000018
10,412,318,0.000019
10,286,298,0.000018
10,301,290,0.000016
10,444,296,0.000018
10,369,239,0.000016
15,562,297,0.000054
15,535,391,0.000041
15,585,358,0.000039
15,440,308,0.000034
15,522,309,0.000036
15,534,321,0.000031
15,558,287,0.000038
15,619,426,0.000036
15,546,272,0.000037
15,439,288,0.000034
15,662,246,0.000038
15,569,335,0.000035
15,540,302,0.000034
15,565,381,0.000031
15,580,468,0.000036
15,530,486,0.000032
15,621,357,0.000063
15,711,310,0.000034
15,662,364,0.000029
15,572,400,0.000051
15,580,383,0.000044
15,619,368,0.000039
15,687,311,0.000035
15,549,308,0.000029
15,566,383,0.000033
20,704,418,0.000046
20,807,482,0.000078
20,833,376,0.000047
20,729,491,0.000053
20,908,372,0.000051
20,726,494,0.000052
20,747,501,0.000048
20,618,432,0.000049
20,784,532,0.000051
20,800,422,0.000056
20,703,505,0.000052
20,834,450,0.000061
20,769,425,0.000048
20,811,467,0.000053
20,750,401,0.000053
20,853,479,0.000069
20,807,599,0.000048
20,739,488,0.000066
20,742,467,0.000051
20,897,463,0.000052
20,887,467,0.000050
20,804,418,0.000047
20,724,492,0.000050
20,820,448,0.000053
20,708,490,0.000049
25,1067,618,0.000057
25,1109,507,0.000060
25,976,724,0.000061
25,1051,712,0.000069
25,1148,619,0.000058
25,837,601,0.000062
25,1068,555,0.000055
25,902,629,0.000056
25,1145,592,0.000068
25,1000,586,0.000062
25,1094,585,0.000056
25,1001,681,0.000059
25,886,618,0.000061
25,1019,535,0.000057
25,1191,698,0.000071
25,1133,652,0.000055
25,963,716,0.000059
25,1122,605,0.000061
25,1074,643,0.000064
25,928,631,0.000058
25,785,607,0.000054
25,874,666,0.000056
25,914,572,0.000063
25,1048,623,0.000054
25,762,852,0.000058
