siła mutacji - σ,max,min,średnia,std
"1,1",410.6306868157076,204.8988118310993,268.4776408112068,52.82989382284223
"1,2",2243.0266938628183,205.6288521117022,374.51110627622614,275.45359900129904
"1,3",3828.2963995451173,210.0759089707489,549.8330869112104,638.4024817424252
"1,4",8516.427351782606,209.58871565780288,1248.1296478154125,1672.811583546186
"1,5",8560.214966833126,226.0731124961762,1510.9762726342046,2113.7930037694496
"1,6",19591.057049744057,218.37731138105406,2211.4423919217343,3276.8246296889606
"1,7",14473.110514535052,234.86884468524033,1893.8505199415208,2707.076963325306
"1,8",16267.506135397825,220.09415828051405,2937.764040109309,3873.0765239926573
"1,9",20729.002945533077,265.4945934397885,3579.599640093725,4360.374759255463
"2,0",22200.557674678643,272.8340905682012,4006.8318424932945,5231.314351446004
