population size,max,min,mean,std
1,53835785285.21042,859281.9558838903,8932577639.770428,13299721237.408062
2,38293.90842351441,2463.2610363046456,14583.194236288822,9465.041183892237
4,50160.80979543618,2224.702851228123,12941.439532415643,11178.596745045876
8,32576.69282483447,2149.6807969140987,13663.177838023637,10066.630794494535
16,49745.872955843704,2221.318464961635,11859.00847615047,10482.438923629003
32,43607.79111153514,1976.784215696085,16041.673514038905,11936.379289745233
64,55882.521785965284,2425.420567802986,16802.567683973717,15460.401893187942
128,37428.195414096495,2616.732444337645,15981.307839333036,9122.387737549296
256,56390.8092908778,3125.3695347165167,17052.37242905805,12032.630922869153
512,33229.75023607347,2472.2852631605347,12008.103262392073,8507.479618391239
