rozmiar populacji - μ,max,min,średnia,std
1,5.683012499714405e+18,10711226952.851181,2.62200040070411e+17,1.1086700042301468e+18
2,19754.62979563354,212.6848797542226,3329.9671774195476,4379.47799430522
4,1048.1307137803774,202.81665131388044,317.9845846344439,109.9282849968134
8,368.95137723561606,202.21114958903436,252.719680207255,46.34326468669593
16,363.0961771644387,200.69742701370689,266.13749820461743,48.96744009639979
32,620.7482518082413,200.6116274434017,287.74700528091705,77.64263467237255
64,33800.530944059865,204.72221955517188,2678.1366556888906,4804.468580761846
128,1984195485.9336836,265.72332705420416,62003572.60927961,315100417.9801836
256,327975376317.4007,4762.038577262167,3791077216.0372777,32653081102.984695
512,48812427964.901505,216.29066965313964,4301266404.238514,8902231432.971725
